time,synthetic_temperature
2020-01-01,12.0
2020-01-02,12.60493248502705
2020-01-03,12.171246746236768
2020-01-04,11.048970064117341
2020-01-05,11.09201895594827
2020-01-06,10.37481727362811
2020-01-07,11.584495216450437
2020-01-08,14.29258603801005
2020-01-09,13.230829189503748
2020-01-10,12.463220410130901
2020-01-11,13.729787001009612
2020-01-12,14.351741349456958
2020-01-13,14.408924353792772
2020-01-14,12.95038494778642
2020-01-15,13.487796760918629
2020-01-16,14.957506660300949
2020-01-17,12.840187790626956
2020-01-18,12.959510411457375
2020-01-19,10.925175775324233
2020-01-20,10.681233884395033
2020-01-21,9.765336063574614
2020-01-22,11.68414120966414
2020-01-23,11.344866929779306
2020-01-24,13.506925040573197
2020-01-25,14.689510382254406
2020-01-26,14.940206222949767
2020-01-27,11.652079027569764
2020-01-28,12.70201575591944
2020-01-29,14.122476665754867
2020-01-30,15.27216107888574
2020-01-31,13.550963644793102
2020-02-01,14.150428249205497
2020-02-02,13.812002297717967
2020-02-03,13.915932672072591
2020-02-04,16.834761788636648
2020-02-05,15.834665207089243
2020-02-06,16.447756478477302
2020-02-07,18.240967487256864
2020-02-08,17.164242096722134
2020-02-09,17.274718246630844
2020-02-10,17.722232776794062
2020-02-11,17.967999722612024
2020-02-12,16.228773595842576
2020-02-13,17.182876893148155
2020-02-14,19.72446999867267
2020-02-15,16.934828393237044
2020-02-16,18.914424612684957
2020-02-17,19.034952274490895
2020-02-18,18.008055523333987
2020-02-19,21.39596932398786
2020-02-20,21.611889991520876
2020-02-21,18.83870158659928
2020-02-22,19.124241356869064
2020-02-23,20.086722140780378
2020-02-24,19.553040731924355
2020-02-25,20.57653823137171
2020-02-26,20.10178271169067
2020-02-27,20.951973483385416
2020-02-28,22.652496713200627
2020-02-29,20.53411939086285
2020-03-01,20.612960670529155
2020-03-02,19.691333782264525
2020-03-03,20.05402163960661
2020-03-04,18.328793756810132
2020-03-05,18.23339573674927
2020-03-06,18.77775215491685
2020-03-07,20.772772315594572
2020-03-08,22.364460458029782
2020-03-09,19.640352629291698
2020-03-10,18.82222833378072
2020-03-11,20.515686404612907
2020-03-12,17.593785828046784
2020-03-13,18.15451919747117
2020-03-14,19.05876622880991
2020-03-15,21.650728286514912
2020-03-16,22.371423196024544
2020-03-17,21.294816981599972
2020-03-18,20.601676425118274
2020-03-19,20.377189613905617
2020-03-20,22.91586755542163
2020-03-21,21.5234781311381
2020-03-22,20.885245895859818
2020-03-23,21.49634166376809
2020-03-24,21.161534505963367
2020-03-25,20.85339561073317
2020-03-26,19.299793410957943
2020-03-27,20.026843876715375
2020-03-28,19.81931420030938
2020-03-29,22.112624928857574
2020-03-30,22.721252121055503
2020-03-31,22.071714143584497
2020-04-01,22.720846308968284
2020-04-02,21.59695207646322
2020-04-03,23.008546598149902
2020-04-04,22.266087340887584
2020-04-05,22.69959444166533
2020-04-06,20.143033436902268
2020-04-07,21.05914505138705
2020-04-08,18.549116293237322
2020-04-09,16.513986983481196
2020-04-10,17.87971007870174
2020-04-11,17.79544085622633
2020-04-12,19.329276729758867
2020-04-13,23.358018250347584
2020-04-14,21.146889119355137
2020-04-15,20.11719239717576
2020-04-16,20.727677305393765
2020-04-17,21.508639077955344
2020-04-18,20.955324273283242
2020-04-19,20.560272012926454
2020-04-20,21.666045248083886
2020-04-21,22.034888611234745
2020-04-22,19.904035948644143
2020-04-23,20.034493451264833
2020-04-24,20.260715316081843
2020-04-25,18.737061389761422
2020-04-26,19.768657382126406
2020-04-27,18.68426481901626
2020-04-28,20.75105583611937
2020-04-29,20.793598006273843
2020-04-30,20.634478582011035
2020-05-01,19.488093706444065
2020-05-02,19.47756347035672
2020-05-03,16.62030688672852
2020-05-04,16.172330572693788
2020-05-05,18.11089827301447
2020-05-06,15.502034700505453
2020-05-07,18.363720017819542
2020-05-08,16.15505869449744
2020-05-09,18.54665528654693
2020-05-10,17.539968116337743
2020-05-11,19.33357499471153
2020-05-12,19.39775694895351
2020-05-13,16.89386723012684
2020-05-14,19.52900423847489
2020-05-15,21.35664685036557
2020-05-16,20.148927363454984
2020-05-17,19.06834487265557
2020-05-18,18.546551993498145
2020-05-19,16.965310702357
2020-05-20,19.08123046183239
2020-05-21,17.841927461762808
2020-05-22,17.78858243019173
2020-05-23,16.59543646198554
2020-05-24,16.08175385415618
2020-05-25,14.746800837925745
2020-05-26,17.69813477624256
2020-05-27,17.301708281289912
2020-05-28,18.692784245077792
2020-05-29,18.04687731660072
2020-05-30,16.545524474542646
2020-05-31,16.143529837224733
2020-06-01,15.49872604922701
2020-06-02,15.910328700486142
2020-06-03,15.528155258964263
2020-06-04,15.35709323598822
2020-06-05,13.581237852291753
2020-06-06,13.317632548030506
2020-06-07,16.79470959497667
2020-06-08,15.336491756182673
2020-06-09,13.830346306464723
2020-06-10,14.956486438974997
2020-06-11,17.179424845970598
2020-06-12,14.163234269680629
2020-06-13,14.16343774586293
2020-06-14,13.469618420952537
2020-06-15,11.300939191453606
2020-06-16,13.684439450513889
2020-06-17,13.917515719318065
2020-06-18,14.139983547921037
2020-06-19,12.977906965855832
2020-06-20,14.031174408678071
2020-06-21,13.111697817745315
2020-06-22,13.094121644823403
2020-06-23,11.57490962790768
2020-06-24,10.440859198402281
2020-06-25,13.52700848363845
2020-06-26,12.553776971542057
2020-06-27,13.10697382661303
2020-06-28,12.889586638418132
