time,variable_0,variable_1
0,-0.7684644126421813,1.258399980571363
1,-0.023500491037858423,-0.5702557063065283
2,-1.0292274020074466,0.5512060417604705
3,-0.019562708383965288,-1.5480957800136448
4,1.1047384472491812,-0.09665979907385613
5,1.9364501638224696,-0.5376716353832374
6,0.688690623462547,-1.5620543370560227
7,2.6814012624778853,-0.9472477394286136
8,2.9202167255304907,-1.3416940603779444
9,1.568706282318179,-2.567136486293204
10,0.0948508335642489,-0.3283271386637321
11,-1.2488249279137196,0.9149952491795076
12,-0.21236660712715705,-0.5073205700621054
13,-0.6944969908549257,-0.6661232725206451
14,-0.531411173790808,-0.7664497394918901
15,-1.2345315073132646,-0.5963489679070871
16,-1.7953344128174076,-1.4344304574699396
17,-1.2507749781774238,0.41691396097483624
18,-2.1547608489687224,0.31619693172037916
19,-1.7876451219760363,-0.6193807329636468
20,-0.22267427431674813,-0.6181265067267037
21,1.2831118561816623,-1.035728864741735
22,0.9368541848144865,-0.8216721813091502
23,-0.3620028346747681,0.1242371425071866
24,-0.33544856076985174,0.6953175783093575
25,-0.12749057889401091,-0.7393784889852423
26,-0.2830958349283993,-0.26801609263781745
27,0.7625578307749049,-0.9985666655293564
28,0.23029195382948886,-2.24748951279574
29,0.44103020803017356,-2.115882450781678
30,-1.8811752742842616,-1.0554669579295095
31,-0.08728148588292406,-1.8112895518517285
32,-1.4077338354017948,-1.5496270407982666
33,-2.1361943119327305,-0.1771308964844558
34,-2.008843951080156,-0.5876042086849342
35,-0.6096994057145149,-0.819052129768889
36,-0.025412394827594276,-1.2789886897065919
37,-1.417963634826455,-2.4084529600761297
38,0.7200548437457592,-1.2622665006826097
39,0.4506235569062053,-0.6710749186625494
40,0.3071434755062933,-0.2973595897143953
41,2.0325420122740008,-1.2034527538792545
42,-0.6200819124293647,-1.7567676089574196
43,-1.9392692029383096,0.018424819694040084
44,-0.24345612912420755,-0.7590974559941774
45,-1.6382012658804326,-0.6720448954260538
46,0.3893064473282475,-2.958169494151997
47,0.29701989092361125,-2.4458621445498085
48,0.8368487648667892,-2.208263895016527
49,-0.1563885907915855,-2.5836827298836793
50,-1.4508239849160212,0.238820793677621
51,0.05844861323789008,-0.14911639650414404
52,-0.8603930923990379,-1.966754376262468
53,-1.1618860691598254,-0.8299034126645048
54,-0.8475772077720637,-0.35105985675921486
55,-1.6406360700154434,-0.13949310013005828
56,-0.9619471830631087,1.3918537497461956
57,1.5464405661295817,0.5855398787743074
58,0.1720673420115295,0.04386675907351649
59,-0.5064042232870682,-0.7399005083643196
60,-0.44815755098467785,-1.3256192375875522
61,0.1607772124753119,-0.655628451000008
62,0.24009150607137292,-0.49405056016820637
63,-0.6693117029383882,-1.194291462431682
64,-0.7845411603054068,-1.01926032522823
65,-0.35048535374263257,-0.38464473351980216
66,-1.6127704025091476,-0.07092029528129598
67,-2.240522182812983,-0.487114718144949
68,-1.5997080174867304,-2.0704226827952397
69,-1.0988953641770065,-0.6207360557948498
70,-0.855527052091254,-0.5937589611615759
71,-0.9332073829325662,-1.1581782959246405
72,-0.9566911747304194,-0.9804712983876934
73,-0.581565448172486,-1.5496790563462772
74,-0.31672294593566497,-0.4959801370609064
75,-0.3901574730024754,-0.6307235901701304
76,0.24314474379323148,-1.9094115750701757
77,0.3077712109708711,-0.6405122169705301
78,0.3565736260230152,0.06430497369884963
79,-0.4478831662253645,-0.2661801827392547
80,0.35079556238151066,0.3556464784729821
81,0.4529972965234269,-1.3893588860449366
82,0.5786317950643524,0.49895976362054206
83,1.4027629448713328,0.4005467628919141
84,-0.7260769694911743,0.9825145630422482
85,-0.39921978548357595,-2.0177803977488367
86,-0.14503053857108833,-2.3602509835181555
87,-1.730245023936885,-1.682568781099914
88,0.06857109755261015,-0.9549768032796658
89,0.16545917089870132,1.3113712925211198
90,1.8817380005282454,0.47021774871726874
91,0.8639675405376142,-1.2374464472196038
92,-0.40489289396884387,-0.21788930768981313
93,0.14035627397331074,0.05267733211042804
94,1.0798992080658105,-0.7626988409808192
95,0.42346321810560794,0.2800385892468625
